id_cliente,Recency,Frequency,Monetary,horario_promedio,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,pais_Australia,pais_Austria,pais_Bahrain,pais_Belgium,pais_Brazil,pais_Canada,pais_Channel Islands,pais_Cyprus,pais_Czech Republic,pais_Denmark,pais_EIRE,pais_European Community,pais_Finland,pais_France,pais_Germany,pais_Greece,pais_Iceland,pais_Israel,pais_Italy,pais_Japan,pais_Lebanon,pais_Lithuania,pais_Malta,pais_Netherlands,pais_Norway,pais_Poland,pais_Portugal,pais_RSA,pais_Saudi Arabia,pais_Singapore,pais_Spain,pais_Sweden,pais_Switzerland,pais_USA,pais_United Arab Emirates,pais_Unspecified
12347.0,3,7,4310.0,12,711.79,475.39,0.0,0.0,636.25,0.0,382.52,0.0,584.91,0.0,1294.32,0.0,224.82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12348.0,76,4,1437.24,15,652.8,187.44,0.0,0.0,327.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12349.0,19,1,1457.55,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.55,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12350.0,311,1,294.4,16,0.0,0.0,294.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12352.0,37,7,1385.74,14,0.0,0.0,296.5,345.01,0.0,0.0,0.0,0.0,0.0,512.5,0.0,231.73,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12353.0,205,1,89.0,17,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12354.0,233,1,1079.4,13,0.0,0.0,0.0,0.0,1079.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
12355.0,215,1,459.4,13,0.0,0.0,0.0,0.0,0.0,459.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12356.0,23,3,2487.43,10,0.0,1947.62,0.0,0.0,481.46,0.0,0.0,0.0,0.0,0.0,0.0,58.35,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12357.0,34,1,6207.67,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6207.67,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12358.0,2,2,928.06,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.86,0.0,0.0,0.0,0.0,523.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12359.0,58,4,6310.03,13,0.0,547.5,1838.91,0.0,0.0,0.0,1109.32,0.0,0.0,0.0,2814.3,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12360.0,53,3,2302.06,12,0.0,0.0,0.0,0.0,0.0,923.58,0.0,0.0,454.7,0.0,923.78,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12361.0,288,1,174.9,13,0.0,0.0,174.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12362.0,4,10,4737.23,12,0.0,0.0,434.1,0.0,450.24,0.0,0.0,273.76,424.25,769.99,1491.91,417.94,475.04,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12363.0,110,2,552.0,12,0.0,0.0,0.0,0.0,299.1,0.0,0.0,0.0,252.9,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12364.0,8,4,1208.1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.92,64.8,269.06,0.0,295.32,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12365.0,292,1,320.69,13,0.0,0.0,320.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12367.0,5,1,150.9,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12370.0,52,4,3421.94,13,1744.27,0.0,0.0,938.39,0.0,0.0,0.0,0.0,0.0,0.0,739.28,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
